,timestamp,current,voltage,voltage_cell_min,voltage_cell_max,temperature_cell_min,temperature_cell_max,state_of_charge
0,2023-05-01 00:00:00+00:00,-1.16,209.088,3.264,3.27,28.84,29.42,42.0
1,2023-05-01 00:05:00+00:00,-1.062,209.244,3.266,3.272,28.82,29.42,41.75
2,2023-05-01 00:10:00+00:00,-1.125,209.124,3.264,3.271,28.82,29.42,41.0
3,2023-05-01 00:15:00+00:00,-1.6,208.817,3.259,3.267,28.82,29.42,41.0
4,2023-05-01 00:20:00+00:00,-0.85,209.193,3.266,3.272,28.84,29.42,40.2
5,2023-05-01 00:25:00+00:00,-0.6,209.489,3.27,3.276,28.82,29.42,40.0
6,2023-05-01 00:30:00+00:00,-0.53,209.569,3.272,3.277,28.84,29.42,40.0
7,2023-05-01 00:35:00+00:00,-0.3,209.762,3.275,3.28,28.82,29.42,40.0
8,2023-05-01 00:40:00+00:00,-0.3,209.818,3.276,3.281,28.82,29.42,40.0
9,2023-05-01 00:45:00+00:00,-0.3,209.845,3.276,3.281,28.82,29.42,40.0
10,2023-05-01 00:50:00+00:00,-0.3,209.856,3.276,3.281,28.82,29.42,39.25
11,2023-05-01 00:55:00+00:00,-0.31,209.854,3.276,3.282,28.82,29.42,39.0
12,2023-05-01 01:00:00+00:00,-0.3,209.864,3.277,3.282,28.82,29.42,39.0
13,2023-05-01 01:05:00+00:00,-0.338,209.84,3.276,3.281,28.82,29.42,39.0
14,2023-05-01 01:10:00+00:00,-0.92,209.364,3.268,3.274,28.82,29.42,39.0
15,2023-05-01 01:15:00+00:00,-0.88,209.282,3.267,3.273,28.82,29.42,38.8
16,2023-05-01 01:20:00+00:00,-0.86,209.232,3.266,3.272,28.82,29.42,38.0
17,2023-05-01 01:25:00+00:00,-0.54,209.463,3.27,3.276,28.82,29.42,38.0
18,2023-05-01 01:30:00+00:00,-0.583,209.457,3.27,3.276,28.82,29.42,38.0
19,2023-05-01 01:35:00+00:00,-0.525,209.508,3.271,3.277,28.82,29.42,38.0
20,2023-05-01 01:40:00+00:00,-0.3,209.688,3.274,3.279,28.82,29.42,37.6
21,2023-05-01 01:45:00+00:00,-0.3,209.727,3.274,3.28,28.82,29.42,37.0
22,2023-05-01 01:50:00+00:00,-0.3,209.744,3.275,3.28,28.82,29.42,37.0
23,2023-05-01 01:55:00+00:00,-0.3,209.754,3.275,3.28,28.82,29.42,37.0
24,2023-05-01 02:00:00+00:00,-0.3,209.767,3.275,3.28,28.82,29.42,37.0
25,2023-05-01 02:05:00+00:00,-0.317,209.761,3.275,3.28,28.82,29.42,37.0
26,2023-05-01 02:10:00+00:00,-1.317,209.117,3.264,3.271,28.82,29.42,37.0
27,2023-05-01 02:15:00+00:00,-1.64,208.485,3.254,3.262,28.82,29.42,36.0
28,2023-05-01 02:20:00+00:00,-0.86,208.958,3.262,3.268,28.82,29.42,36.0
29,2023-05-01 02:25:00+00:00,-0.63,209.113,3.264,3.271,28.82,29.42,36.0
30,2023-05-01 02:30:00+00:00,-0.53,209.31,3.268,3.273,28.82,29.42,35.0
31,2023-05-01 02:35:00+00:00,-0.588,209.272,3.267,3.273,28.82,29.42,35.0
32,2023-05-01 02:40:00+00:00,-0.575,209.261,3.267,3.273,28.82,29.42,35.0
33,2023-05-01 02:45:00+00:00,-0.29,209.504,3.271,3.276,28.82,29.42,35.0
34,2023-05-01 02:50:00+00:00,-0.31,209.547,3.272,3.277,28.82,29.42,35.0
35,2023-05-01 02:55:00+00:00,-0.32,209.567,3.272,3.277,28.82,29.32,35.0
36,2023-05-01 03:00:00+00:00,-0.3,209.589,3.272,3.278,28.8,29.32,34.4
37,2023-05-01 03:05:00+00:00,-0.283,209.601,3.272,3.278,28.82,29.32,34.0
38,2023-05-01 03:10:00+00:00,-0.3,209.608,3.273,3.278,28.82,29.32,34.0
39,2023-05-01 03:15:00+00:00,-0.912,209.118,3.264,3.271,28.82,29.32,34.0
40,2023-05-01 03:20:00+00:00,-0.88,208.954,3.262,3.268,28.8,29.32,34.0
41,2023-05-01 03:25:00+00:00,-0.88,208.866,3.261,3.267,28.82,29.32,33.4
42,2023-05-01 03:30:00+00:00,-0.52,209.084,3.264,3.27,28.82,29.32,33.0
43,2023-05-01 03:35:00+00:00,-0.46,209.234,3.266,3.272,28.78,29.32,33.0
44,2023-05-01 03:40:00+00:00,-0.56,209.12,3.265,3.271,28.8,29.32,33.0
45,2023-05-01 03:45:00+00:00,-0.525,209.1,3.264,3.27,28.795,29.32,33.0
46,2023-05-01 03:50:00+00:00,-0.3,209.314,3.268,3.273,28.78,29.32,33.0
47,2023-05-01 03:55:00+00:00,-0.3,209.356,3.269,3.274,28.78,29.32,32.0
48,2023-05-01 04:00:00+00:00,-0.97,208.78,3.259,3.266,28.82,29.32,32.0
49,2023-05-01 04:05:00+00:00,-0.41,209.035,3.264,3.269,28.8,29.32,32.0
50,2023-05-01 04:10:00+00:00,-0.56,208.893,3.261,3.267,28.78,29.32,32.0
51,2023-05-01 04:15:00+00:00,0.06,209.591,3.273,3.277,28.82,29.32,32.0
52,2023-05-01 04:20:00+00:00,-0.05,209.603,3.273,3.278,28.82,29.32,32.0
53,2023-05-01 04:25:00+00:00,0.03,209.77,3.276,3.28,28.82,29.32,32.0
54,2023-05-01 04:30:00+00:00,0.32,210.145,3.282,3.286,28.8,29.32,32.0
55,2023-05-01 04:35:00+00:00,1.02,211.006,3.295,3.299,28.8,29.32,32.0
56,2023-05-01 04:40:00+00:00,1.07,211.431,3.302,3.306,28.82,29.32,32.0
57,2023-05-01 04:45:00+00:00,1.29,211.86,3.308,3.312,28.82,29.32,32.8
58,2023-05-01 04:50:00+00:00,1.74,212.46,3.317,3.322,28.82,29.32,33.0
59,2023-05-01 04:55:00+00:00,2.12,213.02,3.325,3.33,28.78,29.32,33.8
60,2023-05-01 05:00:00+00:00,2.33,213.33,3.33,3.335,28.82,29.32,34.4
61,2023-05-01 05:05:00+00:00,2.64,213.596,3.333,3.339,28.8,29.32,35.2
62,2023-05-01 05:10:00+00:00,3.1,213.896,3.338,3.344,28.82,29.32,36.0
63,2023-05-01 05:15:00+00:00,3.57,214.188,3.341,3.349,28.8,29.42,37.2
64,2023-05-01 05:20:00+00:00,3.7,214.279,3.342,3.351,28.82,29.42,38.4
65,2023-05-01 05:25:00+00:00,4.0,214.426,3.344,3.354,28.82,29.42,39.6
66,2023-05-01 05:30:00+00:00,4.55,214.716,3.348,3.358,28.82,29.42,40.8
